Year,Proxy,ObsMAF
1529,0.146477587,NA
1530,0.206373364,NA
1531,-1.896889854,NA
1532,-2.52349182,NA
1533,0.335379651,NA
1534,0.706272726,NA
1535,0.756953768,NA
1536,1.454969929,NA
1537,0.731613247,NA
1538,-1.081385824,NA
1539,0.183336527,NA
1540,1.031092128,NA
1541,0.409097529,NA
1542,-2.475114463,NA
1543,-0.284311264,NA
1544,-0.920127965,NA
1545,-1.069867406,NA
1546,0.662502736,NA
1547,0.556533286,NA
1548,0.694754308,NA
1549,1.61162042,NA
1550,0.991929505,NA
1551,-0.65520434,NA
1552,0.102707597,NA
1553,1.837381423,NA
1554,0.061241291,NA
1555,-0.014780272,NA
1556,0.386060692,NA
1557,1.146276313,NA
1558,-1.502959941,NA
1559,-0.620649084,NA
1560,0.81454586,NA
1561,-0.295829683,NA
1562,-1.076778457,NA
1563,-0.139179191,NA
1564,1.21308314,NA
1565,0.798420074,NA
1566,-0.659811707,NA
1567,-0.586093829,NA
1568,-0.081587099,NA
1569,-0.058550262,NA
1570,0.858315851,NA
1571,0.058937607,NA
1572,0.3284686,NA
1573,-0.982327425,NA
1574,-1.60201834,NA
1575,0.144173904,NA
1576,-0.348814408,NA
1577,0.791509023,NA
1578,0.64637695,NA
1579,-0.69897433,NA
1580,-2.304641869,NA
1581,-0.622952768,NA
1582,0.210980731,NA
1583,-0.887876394,NA
1584,-2.723912302,NA
1585,-0.99154216,NA
1586,0.611821695,NA
1587,-0.171430763,NA
1588,0.545014867,NA
1589,0.35380912,NA
1590,-1.825475659,NA
1591,-1.505263625,NA
1592,-1.111333712,NA
1593,-0.003261853,NA
1594,0.837582697,NA
1595,0.964285301,NA
1596,1.090987904,NA
1597,-0.415621235,NA
1598,-2.194065051,NA
1599,0.586481174,NA
1600,-1.618144126,NA
1601,0.457474887,NA
1602,0.607214327,NA
1603,0.775383237,NA
1604,1.738323024,NA
1605,1.620835155,NA
1606,0.932033729,NA
1607,-1.714898842,NA
1608,0.47820804,NA
1609,0.731613247,NA
1610,1.64847936,NA
1611,0.885960055,NA
1612,-0.311955469,NA
1613,0.902085841,NA
1614,1.224601559,NA
1615,1.226905243,NA
1616,0.777686921,NA
1617,1.302926805,NA
1618,1.047217914,NA
1619,0.314646498,NA
1620,0.462082254,NA
1621,1.300623121,NA
1622,-0.512375951,NA
1623,-0.9293427,NA
1624,-1.318665245,NA
1625,-1.731024628,NA
1626,-1.118244764,NA
1627,0.501244877,NA
1628,0.713183778,NA
1629,-0.348814408,NA
1630,-0.411013868,NA
1631,-1.337094715,NA
1632,-1.219606846,NA
1633,0.826064279,NA
1634,0.063544974,NA
1635,-0.21289707,NA
1636,-0.337295989,NA
1637,-0.512375951,NA
1638,-0.461694909,NA
1639,0.736220615,NA
1640,0.763864819,NA
1641,0.280091242,NA
1642,0.422919631,NA
1643,0.307735446,NA
1644,-0.081587099,NA
1645,-1.136674233,NA
1646,-0.802640097,NA
1647,0.588784858,NA
1648,-0.38106598,NA
1649,1.749841442,NA
1650,1.342089427,NA
1651,1.01957371,NA
1652,-0.155304977,NA
1653,-1.334791031,NA
1654,-2.544224974,NA
1655,1.731411973,NA
1656,0.314646498,NA
1657,0.289305977,NA
1658,-0.625256452,NA
1659,-0.143786559,NA
1660,0.252447038,NA
1661,-0.196771284,NA
1662,0.008256565,NA
1663,-0.48703543,NA
1664,-1.461493635,NA
1665,0.040508137,NA
1666,-0.952379537,NA
1667,-1.373953654,NA
1668,-0.954683221,NA
1669,0.809938493,NA
1670,-1.099815294,NA
1671,-1.599714657,NA
1672,0.72700588,NA
1673,0.925122678,NA
1674,1.00114424,NA
1675,-0.231326539,NA
1676,0.655591685,NA
1677,0.524281714,NA
1678,2.088482946,NA
1679,0.452867519,NA
1680,1.411199938,NA
1681,0.883656371,NA
1682,-0.109231303,NA
1683,1.261460498,NA
1684,-1.127459498,NA
1685,-3.504861076,NA
1686,-1.367042603,NA
1687,0.275483875,NA
1688,0.768472186,NA
1689,0.482815408,NA
1690,0.611821695,NA
1691,0.791509023,NA
1692,-0.231326539,NA
1693,0.574962756,NA
1694,-0.436354389,NA
1695,-0.371851245,NA
1696,-0.040120792,NA
1697,0.501244877,NA
1698,1.111721058,NA
1699,0.480511724,NA
1700,-0.348814408,NA
1701,1.038003179,NA
1702,0.837582697,NA
1703,-0.330384938,NA
1704,-1.392383124,NA
1705,0.14187022,NA
1706,-1.033008467,NA
1707,-1.081385824,NA
1708,-0.839499036,NA
1709,0.41600858,NA
1710,0.505852245,NA
1711,0.342290702,NA
1712,0.662502736,NA
1713,-0.427139654,NA
1714,-1.714898842,NA
1715,0.600303276,NA
1716,0.144173904,NA
1717,-0.173734447,NA
1718,0.386060692,NA
1719,1.385859418,NA
1720,2.40869498,NA
1721,-0.643685921,NA
1722,-2.189457684,NA
1723,-0.383369663,NA
1724,0.503548561,NA
1725,1.800522484,NA
1726,2.498538645,NA
1727,0.784597972,NA
1728,-1.09751161,NA
1729,-2.113436122,NA
1730,-0.519287002,NA
1731,0.111922332,NA
1732,0.047419188,NA
1733,0.402186478,NA
1734,1.277586284,NA
1735,-1.922230375,NA
1736,-1.933748793,NA
1737,-0.579182778,NA
1738,1.243031028,NA
1739,0.671717471,NA
1740,-1.196570009,NA
1741,0.565748021,NA
1742,0.784597972,NA
1743,1.120935792,NA
1744,-0.431747021,NA
1745,0.441349101,NA
1746,1.678427248,NA
1747,1.858114576,NA
1748,-1.724113577,NA
1749,0.78920534,NA
1750,-0.586093829,NA
1751,-0.178341814,NA
1752,-0.708189065,NA
1753,0.777686921,NA
1754,0.208677047,NA
1755,-0.606826982,NA
1756,-1.705684107,NA
1757,-1.17814054,NA
1758,-0.047031843,NA
1759,-0.837195352,NA
1760,0.978107403,NA
1761,0.906693208,NA
1762,1.146276313,NA
1763,-1.000756895,NA
1764,0.501244877,NA
1765,-1.196570009,NA
1766,0.084278128,NA
1767,-1.051437936,NA
1768,1.69224935,NA
1769,1.173920517,NA
1770,-0.109231303,NA
1771,0.87674532,NA
1772,-0.765781158,NA
1773,-2.362233961,NA
1774,-0.645989605,NA
1775,0.395275427,NA
1776,-0.392584398,NA
1777,-1.39007944,NA
1778,-0.94777217,NA
1779,-0.083890783,NA
1780,-0.634471187,NA
1781,-0.408710184,NA
1782,-0.880965343,NA
1783,0.535800133,NA
1784,1.256853131,NA
1785,0.973500036,NA
1786,-1.079082141,NA
1787,0.475904356,NA
1788,-0.438658072,NA
1789,-1.362435236,NA
1790,1.18774262,NA
1791,1.39968152,NA
1792,1.434236775,NA
1793,-0.08849815,NA
1794,-0.199074967,NA
1795,-0.480124379,NA
1796,0.305431763,NA
1797,1.284497335,NA
1798,-2.032807192,NA
1799,0.383757008,NA
1800,0.388364376,NA
1801,-0.242844958,NA
1802,0.685539573,NA
1803,-0.65520434,NA
1804,-1.138977917,NA
1805,-0.689759595,NA
1806,-0.793425362,NA
1807,0.171818108,NA
1808,-0.074676048,NA
1809,-0.560753308,NA
1810,-0.189860233,NA
1811,1.233816294,NA
1812,0.715487461,NA
1813,-1.507567309,NA
1814,-1.03531215,NA
1815,0.740827982,NA
1816,1.770574596,NA
1817,1.033395812,NA
1818,-0.500857532,NA
1819,-0.733529586,NA
1820,-0.945468486,NA
1821,0.287002293,NA
1822,-0.710492749,NA
1823,-0.452480174,NA
1824,-1.60201834,NA
1825,-0.454783858,NA
1826,1.084076853,NA
1827,0.363023855,NA
1828,1.215386824,NA
1829,-1.261073153,NA
1830,-0.786514311,NA
1831,0.648680634,NA
1832,1.183135252,NA
1833,0.374542274,NA
1834,-0.993845844,NA
1835,0.049722872,NA
1836,0.667110104,NA
1837,2.229007652,NA
1838,1.793611433,NA
1839,1.374340999,NA
1840,1.542509909,NA
1841,1.362822581,NA
1842,-0.747351688,NA
1843,1.224601559,NA
1844,0.010560249,NA
1845,-2.797630181,NA
1846,-1.689558321,NA
1847,-1.735631995,NA
1848,0.717791145,NA
1849,2.47089444,NA
1850,1.051825281,NA
1851,-3.018783816,NA
1852,0.508155928,NA
1853,1.551724644,NA
1854,0.056633923,NA
1855,-1.415419961,NA
1856,0.653288001,NA
1857,-0.298133367,NA
1858,0.839886381,NA
1859,0.114226016,NA
